term,estimate,std.error,p.value
(Intercept),7.252328398779463,0.08735483820789194,0
eyesight2,-0.06587019439830413,0.08890999849283078,0.4588908700622991
eyesight3,-0.0523767016473776,0.10482032260030003,0.6173724206592048
eyesight4,-0.5546516944221774,0.17287984876348914,0.0013631142400635549
eyesight5,-0.45428741290295044,0.4333934684422557,0.2947090067952001
income_groupMedium,5.169804029877747e-4,0.0974951407698753,0.9957698334258631
income_groupHigh,0.1469617935111367,0.10656662610421813,0.16807974380122867
income_groupVery High,0.27551241516620295,0.11796931006682419,0.01964942956029834
