"C0000100","C0000200","C0005400","C0005700","C0007000","C0328600"
90602,906,1,1996,32,134
90603,906,1,1998,33,117
91201,912,2,1984,26,113
91202,912,1,1987,29,129
91401,914,2,1991,30,129
91402,914,1,1993,31,129
91801,918,2,1987,24,112
92301,923,1,1983,22,127
92302,923,1,1987,26,153
92303,923,2,1989,27,130
92801,928,1,1981,20,115
92802,928,2,1984,23,115
93001,930,1,1976,17,75
93002,930,1,1976,17,71
93003,930,2,1979,20,116
93004,930,2,1981,22,130
93201,932,2,1977,18,122
93202,932,2,1980,20,138
93203,932,1,1989,29,157
93501,935,2,1984,26,92
93502,935,2,1985,27,124
93503,935,1,1988,30,-2
93601,936,1,1986,25,140
93602,936,1,1989,28,156
93603,936,1,1992,31,145
93901,939,1,1979,20,123
93902,939,2,1981,22,130
93903,939,1,1984,26,115
93904,939,2,1986,27,100
94001,940,2,1982,22,111
94002,940,1,1984,24,135
94201,942,1,1988,27,108
94202,942,2,1991,30,120
94901,949,2,1983,20,108
94902,949,1,1984,21,123
95001,950,1,1995,30,140
95201,952,1,1982,18,129
95301,953,2,1978,19,107
95302,953,1,1984,25,124
95401,954,1,1998,37,126
95402,954,1,2000,40,-3
96201,962,2,1983,21,133
96202,962,1,1984,23,147
96203,962,1,1987,25,157
96401,964,2,1991,26,117
96601,966,2,1997,35,81
96602,966,1,2001,39,-3
96701,967,1,1991,28,107
96702,967,1,1993,30,72
97101,971,2,1993,31,123
97102,971,1,1995,33,-3
97401,974,1,1989,28,122
97402,974,1,1991,30,134
97501,975,2,1982,17,129
97502,975,1,1985,20,126
97801,978,2,1984,25,111
97802,978,2,1987,27,127
97901,979,1,1981,21,142
97902,979,1,1984,25,112
98101,981,1,1986,26,149
98102,981,2,1989,29,164
98601,986,2,1981,17,130
98801,988,1,1975,15,101
99201,992,2,1977,18,121
99202,992,1,1979,21,141
99203,992,1,1981,22,131
99501,995,2,1971,13,108
99502,995,1,1979,22,155
99801,998,1,1982,24,148
99802,998,2,1987,29,128
99803,998,1,1989,31,144
99804,998,1,1995,37,118
99805,998,2,1998,40,-3
99901,999,1,1984,21,131
99902,999,1,1986,23,-3
100501,1005,1,1979,20,53
100502,1005,1,1981,21,118
100503,1005,2,1986,26,100
100504,1005,2,1988,28,139
100505,1005,2,1989,29,139
100801,1008,2,1976,17,120
100901,1009,1,1976,19,130
101501,1015,2,1984,21,120
101502,1015,1,1986,24,134
101503,1015,2,1991,28,121
101504,1015,1,1996,34,126
101601,1016,1,1995,35,107
101701,1017,2,1989,27,109
101702,1017,1,1992,30,112
101801,1018,1,1992,27,150
101802,1018,2,1995,30,157
101901,1019,1,1999,34,97
101902,1019,2,2002,38,-7
101903,1019,1,2005,40,106
102401,1024,2,1991,28,138
102501,1025,1,1973,14,104
102502,1025,1,1976,18,128
102503,1025,1,1980,21,144
102504,1025,2,1982,23,103
102505,1025,1,1983,24,137
103001,1030,1,1979,20,111
103002,1030,2,1983,24,106
103003,1030,2,1987,28,103
103004,1030,2,1996,38,100
103301,1033,1,1985,21,119
103302,1033,1,1989,25,102
103303,1033,1,1993,29,-3
103304,1033,1,2005,41,130
103401,1034,1,1973,15,93
103402,1034,2,1976,18,108
103403,1034,1,1978,21,74
103501,1035,2,1984,20,113
103502,1035,2,1985,21,107
103601,1036,2,1996,33,106
103801,1038,1,1991,26,126
103802,1038,1,1994,29,142
103901,1039,1,1988,28,127
104001,1040,1,1985,25,63
104801,1048,1,1977,19,137
104802,1048,2,1980,22,144
104901,1049,2,1992,30,116
104902,1049,1,1999,36,-3
104903,1049,1,1999,36,80
105001,1050,1,2002,41,-7
105601,1056,1,1980,20,126
105602,1056,2,1984,24,132
105603,1056,2,1991,32,121
105701,1057,2,1973,16,103
105702,1057,2,1976,19,115
105703,1057,1,1978,21,104
105704,1057,2,1980,22,65
106301,1063,2,1978,17,124
106302,1063,1,1983,23,116
106501,1065,1,1984,26,116
106502,1065,1,1988,29,120
106503,1065,2,1991,32,141
106901,1069,1,1982,24,111
106902,1069,1,1985,27,120
107001,1070,1,1975,16,81
107002,1070,1,1981,22,111
107003,1070,2,1982,23,93
107101,1071,1,1979,17,69
107102,1071,1,1984,21,110
107103,1071,2,1985,23,109
107401,1074,1,1992,30,123
107601,1076,1,1982,17,98
107701,1077,2,1976,16,101
107702,1077,1,1977,17,123
107703,1077,1,1990,29,132
107901,1079,1,1980,19,126
108001,1080,1,1987,23,133
108002,1080,1,1990,26,142
108003,1080,1,1993,29,143
108201,1082,1,1991,28,121
108202,1082,2,1994,31,-3
108301,1083,2,1984,24,104
108302,1083,1,1987,27,248
108601,1086,2,2001,39,-7
108701,1087,1,1997,34,112
108702,1087,2,2000,37,-3
108703,1087,2,2003,39,-7
108704,1087,1,2007,44,118
108705,1087,2,2009,46,105
108801,1088,1,1987,27,107
108802,1088,1,1989,29,129
108803,1088,1,1991,30,133
108804,1088,2,1993,33,-3
108805,1088,2,1998,37,120
108806,1088,2,2003,43,-7
109001,1090,2,1980,16,111
109002,1090,2,1982,18,103
109003,1090,1,1990,25,114
109301,1093,1,1993,32,119
109302,1093,2,1994,33,130
109303,1093,2,1997,36,102
110101,1101,2,1985,28,129
110102,1101,2,1988,31,-3
110301,1103,2,1993,35,127
110401,1104,2,1991,32,134
110801,1108,1,1987,29,125
110802,1108,2,1991,33,130
111001,1110,1,1995,32,-3
111101,1111,1,1976,19,119
111102,1111,1,1985,28,123
111201,1112,1,1984,20,129
111202,1112,2,1986,21,110
111601,1116,1,1988,26,-3
111602,1116,2,1998,36,73
111701,1117,1,1990,27,119
111702,1117,2,1993,30,120
111703,1117,1,2000,38,-3
111801,1118,1,1985,22,111
112101,1121,1,1982,20,118
112102,1121,1,1990,29,160
112301,1123,1,1977,19,93
112302,1123,1,1978,20,119
112303,1123,1,1982,24,146
112304,1123,1,1986,28,136
112305,1123,1,1990,32,120
112601,1126,1,1982,23,-3
112602,1126,2,1983,24,128
112603,1126,1,1986,27,129
112801,1128,2,1981,22,110
113001,1130,2,1989,30,61
113002,1130,2,1992,33,-3
113101,1131,2,1987,28,95
113201,1132,1,1985,22,124
113202,1132,2,1988,26,123
113301,1133,2,1985,24,104
113302,1133,1,1987,26,118
113303,1133,1,1994,34,120
113501,1135,1,1990,26,130
113502,1135,2,1998,34,152
113601,1136,1,1994,32,118
113602,1136,1,1997,34,111
114101,1141,2,1984,25,142
114102,1141,2,1985,26,130
114701,1147,2,1994,33,118
114702,1147,1,1997,35,127
115201,1152,2,1981,20,97
115202,1152,2,1986,25,-3
115203,1152,1,1991,29,-3
115501,1155,1,1981,19,112
115701,1157,2,1979,19,102
115702,1157,1,1995,35,119
115801,1158,2,1985,25,125
115802,1158,2,1987,27,-3
115901,1159,1,1989,27,152
115902,1159,1,2006,44,128
116001,1160,2,1984,20,-3
116002,1160,2,1988,24,127
116003,1160,2,1993,29,123
116004,1160,2,1995,31,135
116005,1160,1,1998,35,138
