"C0000100","C0000200","C0005400","C0005700","C0007000","C0328600"
356402,3564,1,1992,31,107
356501,3565,1,1983,26,118
356502,3565,2,1985,28,153
356503,3565,2,1988,31,113
356601,3566,2,1981,23,104
356602,3566,1,1985,26,131
356603,3566,1,1987,29,120
356801,3568,2,1987,24,106
356802,3568,1,1989,26,118
356803,3568,2,1993,30,113
357201,3572,1,1982,18,140
357202,3572,1,1985,20,127
357203,3572,2,1992,27,134
357301,3573,2,1985,23,95
357302,3573,1,1988,25,134
357601,3576,2,1982,22,138
357602,3576,1,1987,27,136
358401,3584,1,1982,22,79
358402,3584,2,1988,28,87
358601,3586,1,1989,26,111
358602,3586,1,1991,28,107
359401,3594,1,1981,22,124
359402,3594,1,1986,27,133
359403,3594,2,1993,34,125
359701,3597,1,1980,21,117
359702,3597,2,1984,25,122
359703,3597,1,1985,26,101
359704,3597,2,1987,28,122
359705,3597,2,2002,43,-3
360101,3601,2,1986,22,153
360102,3601,2,1989,25,125
360103,3601,2,1991,27,129
360301,3603,1,1985,26,105
360302,3603,1,1988,28,-3
360303,3603,1,1989,29,104
360501,3605,1,1988,30,72
360502,3605,2,1988,30,84
360601,3606,1,1980,20,123
360602,3606,1,1982,21,91
360603,3606,2,1984,23,98
360901,3609,2,1989,29,112
360902,3609,2,1994,34,97
360903,3609,1,1997,37,119
361001,3610,2,1984,26,87
361101,3611,2,1983,23,156
361102,3611,2,1985,25,152
361103,3611,2,1992,32,126
361301,3613,2,1987,30,77
361401,3614,2,1982,23,157
361402,3614,1,1987,28,119
362401,3624,1,1991,28,-3
362402,3624,2,1992,30,115
362601,3626,2,1986,27,108
362602,3626,1,1989,31,134
363101,3631,2,1985,22,95
363301,3633,2,1985,22,87
363302,3633,2,1988,24,99
363303,3633,2,1998,34,94
363501,3635,1,1979,17,114
363502,3635,2,1981,19,106
363701,3637,1,1975,17,112
363702,3637,1,1976,17,114
363703,3637,2,1980,22,128
364101,3641,2,1981,21,98
364102,3641,2,1990,30,114
364103,3641,1,1998,38,120
364701,3647,1,1978,15,109
364702,3647,1,1980,16,142
364703,3647,1,1981,18,138
364801,3648,1,1981,20,107
364802,3648,1,1982,21,86
364803,3648,1,1984,23,-3
364804,3648,2,1985,24,112
364805,3648,2,1987,26,128
364901,3649,2,1982,19,124
364902,3649,1,1983,20,130
364903,3649,2,1988,25,107
365001,3650,2,1983,21,125
365002,3650,1,1985,23,128
365003,3650,1,1988,27,152
365101,3651,1,1982,22,117
365201,3652,2,1980,18,105
365202,3652,2,1984,22,100
365401,3654,1,1985,20,73
365402,3654,1,1985,20,70
365403,3654,1,1989,25,116
365404,3654,2,1992,27,107
365405,3654,1,1994,29,116
365406,3654,1,1996,32,118
365407,3654,2,1998,33,109
365408,3654,2,1999,35,120
365409,3654,1,2001,37,-3
365410,3654,1,2003,39,-7
365501,3655,2,1980,18,108
365502,3655,1,1985,23,128
365901,3659,2,1979,18,114
365902,3659,1,1981,19,120
365903,3659,2,1982,21,97
366101,3661,2,1993,31,123
366201,3662,2,1985,27,121
366202,3662,2,1990,33,124
366301,3663,1,1991,30,158
366302,3663,1,1994,32,138
366701,3667,2,1987,25,132
366901,3669,2,1988,25,108
366902,3669,1,1990,28,117
366903,3669,2,1994,31,96
367401,3674,2,1986,25,109
367402,3674,1,1988,27,122
367701,3677,1,1995,32,111
367702,3677,2,1999,36,117
367801,3678,2,1993,33,103
367901,3679,1,1989,27,141
367902,3679,1,1991,29,131
367903,3679,2,1993,31,115
368101,3681,2,1988,27,106
368102,3681,1,1989,28,117
368201,3682,2,1993,28,115
368202,3682,2,1995,30,-3
368203,3682,2,2000,35,-3
368701,3687,2,1992,31,134
368702,3687,1,1995,34,-3
368801,3688,2,1987,23,92
368802,3688,2,1987,23,109
368803,3688,2,1990,26,163
368804,3688,1,1993,29,165
369101,3691,1,1986,24,112
369102,3691,2,1989,27,114
369103,3691,2,1993,31,110
369201,3692,1,1982,21,96
369202,3692,2,1983,22,120
369701,3697,2,1983,20,125
369702,3697,1,1984,21,83
369703,3697,1,1986,23,-3
369704,3697,2,1993,30,115
369705,3697,1,2001,38,-3
369801,3698,1,1981,21,48
369802,3698,2,1982,22,64
369803,3698,1,1983,22,96
369901,3699,1,1981,19,80
370301,3703,1,1975,16,120
370302,3703,1,1978,19,48
370303,3703,2,1980,21,67
370401,3704,2,1976,15,98
370402,3704,2,1983,23,109
370403,3704,2,1989,29,127
370501,3705,2,1976,16,100
370502,3705,1,1981,21,132
371101,3711,2,1989,29,105
371102,3711,1,1991,30,141
371103,3711,1,1992,31,122
371104,3711,2,1993,32,124
371105,3711,1,1994,33,-3
371401,3714,1,1976,16,106
371402,3714,1,1978,18,107
371403,3714,1,1979,19,97
371501,3715,1,1981,22,102
371502,3715,1,1983,24,126
371503,3715,1,1985,26,126
371504,3715,1,1989,30,127
371701,3717,2,1978,15,105
371702,3717,1,1997,34,107
371801,3718,2,1981,18,119
371802,3718,2,1988,24,118
371803,3718,2,1989,25,122
371901,3719,1,1981,23,79
371902,3719,2,1983,25,117
371903,3719,1,1999,41,-3
372001,3720,1,1984,26,136
372002,3720,1,1987,30,140
372601,3726,2,1979,18,131
372602,3726,2,1983,22,154
372603,3726,1,1990,29,165
372701,3727,2,1991,28,120
372702,3727,2,1995,32,120
372703,3727,1,1996,33,127
372801,3728,2,1979,20,134
372802,3728,1,1984,24,138
372803,3728,1,1986,26,144
372804,3728,1,1988,29,170
372901,3729,1,1980,18,129
372902,3729,2,1982,21,102
372903,3729,1,1989,28,127
372904,3729,2,1998,36,88
372905,3729,1,1998,36,107
373401,3734,2,1992,30,137
373402,3734,1,1994,31,142
373403,3734,2,1996,33,131
373501,3735,1,1993,28,90
373502,3735,1,1996,31,133
373503,3735,2,1998,33,138
373504,3735,2,1999,34,122
373601,3736,1,1990,31,52
373602,3736,2,1995,36,84
373701,3737,1,1997,35,106
373702,3737,2,1998,37,92
373703,3737,1,2003,42,-7
373801,3738,2,1981,19,100
373901,3739,2,1992,32,104
373902,3739,1,1994,34,-3
374001,3740,1,1985,24,94
374002,3740,1,1987,25,101
374101,3741,1,1988,25,137
374401,3744,1,1982,22,109
374601,3746,2,1983,22,110
374602,3746,2,1986,25,112
374603,3746,1,1989,28,117
375201,3752,2,1986,29,116
375301,3753,2,1979,18,112
375302,3753,2,1982,20,109
375303,3753,2,1984,22,130
375304,3753,2,1992,31,126
375601,3756,2,1983,20,109
375801,3758,2,1985,24,144
375901,3759,2,1983,21,141
375902,3759,2,1985,23,123
375903,3759,2,1990,28,125
376801,3768,1,1973,14,106
376802,3768,2,1975,16,126
376901,3769,1,1977,18,100
376902,3769,2,1978,20,113
376903,3769,2,1987,29,114
377001,3770,2,1984,23,129
377002,3770,2,1987,26,122
377101,3771,1,1992,27,125
377102,3771,1,1996,31,114
377103,3771,2,1997,32,138
377104,3771,1,1998,34,-3
377201,3772,1,1985,24,90
377202,3772,1,1989,27,122
377203,3772,2,1992,30,124
377301,3773,2,1979,22,117
377302,3773,1,1985,28,132
377303,3773,1,1986,29,127
377401,3774,1,1980,20,114
377402,3774,2,1985,25,108
377901,3779,2,1976,19,134
377902,3779,2,1980,22,140
377903,3779,2,1984,27,147
377904,3779,1,1986,29,145
378101,3781,1,1990,30,98
378102,3781,1,1992,32,128
378301,3783,2,1992,28,119
378302,3783,2,1994,30,-3
378401,3784,1,1979,18,146
378402,3784,1,1988,27,129
378601,3786,2,1991,32,107
378602,3786,2,1994,35,106
378701,3787,1,1980,23,144
378702,3787,2,1988,31,101
378703,3787,2,1988,31,116
378704,3787,1,1992,35,144
379001,3790,1,1986,26,-3
379002,3790,2,1987,27,111
379101,3791,1,1979,21,99
379102,3791,2,1982,24,109
379103,3791,1,1995,37,111
379301,3793,2,1984,26,118
379302,3793,2,1990,32,118
379401,3794,2,1991,27,-3
379402,3794,2,1994,30,130
379403,3794,2,1996,32,-3
379701,3797,2,1987,23,114
379801,3798,2,1987,25,104
379802,3798,2,1988,26,120
379803,3798,2,1990,28,-3
379804,3798,2,1992,30,-3
379805,3798,1,1996,34,121
379901,3799,1,1994,34,113
379902,3799,2,1999,39,-3
380001,3800,2,1992,29,109
380002,3800,1,1996,33,-3
380201,3802,1,1990,31,104
380401,3804,1,1989,28,116
380402,3804,2,1990,29,134
380601,3806,1,1988,30,133
380602,3806,2,1990,32,127
380901,3809,1,2002,41,-7
381201,3812,1,1989,29,130
381301,3813,1,1980,18,-3
381302,3813,1,1983,20,136
381303,3813,1,1985,22,115
381304,3813,2,1986,24,109
381401,3814,1,1996,35,93
381701,3817,1,1996,39,134
381901,3819,1,1984,21,88
381902,3819,1,1987,25,105
381903,3819,1,1989,26,121
381904,3819,1,1991,28,123
382101,3821,2,1982,23,98
382102,3821,1,1984,25,99
382301,3823,1,1984,25,109
382302,3823,2,1986,27,109
382401,3824,2,1982,21,104
382402,3824,1,1983,22,81
382403,3824,2,1986,25,104
382601,3826,2,1984,21,119
383201,3832,2,1984,21,134
383501,3835,1,1984,24,116
383601,3836,1,1994,32,144
383602,3836,2,1995,33,118
383701,3837,2,1980,17,119
383702,3837,1,1984,21,98
383703,3837,2,1987,24,99
383901,3839,2,1981,22,88
383902,3839,2,1982,23,-3
383903,3839,2,1988,29,111
384201,3842,2,1978,16,134
384202,3842,1,1981,20,103
384203,3842,1,1992,31,109
384301,3843,1,1989,30,-3
384302,3843,2,1991,32,124
384601,3846,1,1995,31,134
384602,3846,1,1999,35,160
384901,3849,1,1992,30,122
385101,3851,1,1981,19,124
385102,3851,1,1985,23,139
385301,3853,1,1989,25,116
385302,3853,2,1990,27,115
385901,3859,2,1990,31,114
386401,3864,1,1987,29,-3
387601,3876,1,2000,39,-3
387701,3877,2,1984,23,104
387702,3877,2,1985,24,109
387703,3877,1,1988,28,128
387901,3879,1,1979,20,123
387902,3879,2,1982,22,95
388901,3889,1,1987,27,120
388902,3889,2,1992,31,102
389301,3893,1,1985,22,149
389302,3893,2,1988,25,175
389901,3899,1,1988,25,136
389902,3899,1,1990,28,120
389903,3899,2,1991,29,146
389904,3899,2,1995,32,116
390601,3906,2,1984,22,158
390602,3906,1,1989,27,136
390801,3908,1,1993,33,152
390802,3908,2,1994,35,137
391301,3913,2,1997,35,120
391302,3913,2,1999,38,120
391401,3914,2,1980,18,120
391402,3914,1,1981,20,118
391501,3915,2,1990,26,106
391502,3915,1,1996,32,122
391503,3915,2,2005,41,106
391801,3918,1,1997,33,138
391802,3918,1,1999,36,161
391901,3919,1,1985,21,101
391902,3919,1,1992,28,139
391903,3919,2,1993,30,-3
392101,3921,1,1986,22,132
392102,3921,2,1990,27,125
392103,3921,1,1992,28,115
392201,3922,2,1983,23,129
392301,3923,2,1989,26,127
392302,3923,2,1991,28,134
392303,3923,2,1994,32,142
392304,3923,2,1999,37,140
392401,3924,1,1997,33,97
392402,3924,1,1997,33,95
392701,3927,2,1976,17,91
392801,3928,2,1980,20,120
392901,3929,2,1976,18,114
392902,3929,2,1989,31,126
393101,3931,2,1977,16,85
393102,3931,2,1977,16,71
393103,3931,2,1983,21,110
393104,3931,1,1983,21,94
393105,3931,1,1988,26,111
393401,3934,1,1979,18,135
393501,3935,1,1983,23,132
393502,3935,2,1989,30,-2
393601,3936,2,1986,22,105
393602,3936,1,1988,25,84
394001,3940,1,1984,20,-3
394401,3944,1,1977,15,124
394402,3944,1,1989,27,110
394501,3945,2,1991,28,96
394502,3945,2,1999,36,64
394801,3948,1,1974,15,124
394802,3948,2,1975,17,112
394803,3948,1,1981,23,120
394804,3948,1,1988,30,89
395201,3952,2,1982,25,106
395202,3952,1,1979,21,122
395301,3953,1,1983,23,103
395302,3953,1,1987,26,93
395303,3953,1,1991,31,105
395304,3953,1,1993,33,-3
396001,3960,1,1992,28,133
396201,3962,2,1982,23,154
396202,3962,2,1983,24,152
396203,3962,2,1986,27,137
396204,3962,1,1989,31,174
396401,3964,2,1985,27,125
396402,3964,1,1987,28,157
396901,3969,2,1994,30,52
396902,3969,1,1999,35,-3
397001,3970,2,1987,29,116
397002,3970,1,1990,32,141
397003,3970,1,1993,35,148
397201,3972,1,1987,27,133
397202,3972,1,1990,29,160
397203,3972,1,1992,32,164
397501,3975,1,1978,17,-2
397502,3975,1,1979,18,-2
397503,3975,2,1981,19,115
397504,3975,2,1984,23,115
397701,3977,1,1980,18,113
397702,3977,1,2008,45,22
397801,3978,2,1989,25,93
398201,3982,1,1979,20,126
398202,3982,2,1981,22,112
398203,3982,2,1985,26,118
398204,3982,2,1986,27,112
398301,3983,2,1985,23,111
398302,3983,2,1989,28,103
398601,3986,1,1978,21,123
398602,3986,1,1993,36,-3
398801,3988,2,1979,20,89
398802,3988,1,1982,22,103
399101,3991,2,1982,20,113
399102,3991,1,1988,27,110
399201,3992,1,1973,16,115
399301,3993,1,1977,19,144
399302,3993,2,1978,20,153
399303,3993,1,1983,24,148
399501,3995,1,1979,17,103
399502,3995,2,1983,21,114
399503,3995,2,1985,23,42
399601,3996,1,1984,21,112
399602,3996,2,1989,26,118
399801,3998,1,1982,23,141
400101,4001,2,1990,28,129
400102,4001,1,1992,30,-3
400201,4002,1,1990,26,102
400202,4002,2,1991,28,76
400301,4003,1,1977,17,144
400302,4003,2,1980,20,143
400501,4005,1,1980,20,120
400502,4005,1,1981,22,123
400503,4005,2,1983,23,107
400701,4007,1,1980,20,115
400702,4007,2,1985,25,136
401201,4012,1,1982,19,124
401202,4012,1,1984,21,105
401501,4015,2,1982,19,102
401502,4015,2,1985,22,114
401503,4015,1,1987,24,124
401601,4016,2,1975,17,119
401602,4016,1,1978,19,119
401901,4019,2,1989,27,122
401902,4019,1,1997,35,116
402101,4021,1,1982,18,108
402301,4023,1,1995,30,133
402302,4023,1,2001,36,-3
402401,4024,1,1972,15,134
402402,4024,1,1977,19,155
402403,4024,1,1979,21,130
402601,4026,1,1993,30,131
402602,4026,2,1996,33,-3
402603,4026,1,1998,36,-3
402701,4027,2,1994,34,117
402702,4027,1,2000,40,114
402703,4027,1,2002,42,110
402704,4027,1,2002,42,91
402801,4028,2,1982,18,95
402802,4028,2,1984,20,98
402803,4028,1,1987,23,-3
403301,4033,2,1996,37,109
403302,4033,1,1997,38,112
403501,4035,2,1993,31,130
403502,4035,1,1995,34,-3
403701,4037,1,1988,24,133
403801,4038,2,1983,19,124
403802,4038,2,1986,22,108
404001,4040,1,1990,28,135
404002,4040,2,1995,33,123
404101,4041,1,1978,21,130
404102,4041,1,1980,22,144
404103,4041,1,1985,28,155
404501,4045,1,1981,19,127
404502,4045,1,1986,24,153
404503,4045,2,1991,29,128
404901,4049,2,1981,21,111
404902,4049,2,1983,23,111
404903,4049,2,1990,29,116
404904,4049,2,1992,31,139
405001,4050,2,1984,22,124
405002,4050,2,1989,27,134
405003,4050,2,1995,33,-3
405101,4051,1,1984,21,117
405102,4051,1,1990,27,102
405103,4051,2,1992,29,115
405701,4057,1,1990,26,116
405702,4057,1,1994,30,116
405703,4057,2,1998,33,116
406001,4060,2,1983,25,134
406002,4060,2,1985,27,125
406501,4065,2,1989,25,96
406502,4065,1,1990,27,127
406503,4065,1,1997,33,-3
406601,4066,2,1979,21,122
406602,4066,1,1980,23,170
407101,4071,1,2001,37,-7
407401,4074,1,1994,30,79
407402,4074,1,1994,30,50
407403,4074,2,1994,30,-3
407701,4077,1,1986,24,73
407702,4077,2,1995,33,121
407703,4077,1,1996,34,-3
407801,4078,1,1991,26,150
407901,4079,2,1990,29,155
407902,4079,1,1996,35,145
408001,4080,2,1993,31,89
408002,4080,1,1996,33,-7
408301,4083,1,1992,28,-2
408401,4084,1,1981,23,134
408402,4084,1,1986,28,156
408403,4084,2,1988,30,-3
408501,4085,1,1980,17,106
408901,4089,1,1979,19,133
408902,4089,1,1982,22,122
408903,4089,2,1984,24,116
409201,4092,1,2000,38,148
409401,4094,1,1995,32,160
409402,4094,2,2000,38,-3
409501,4095,1,1993,29,138
409502,4095,1,1996,32,-3
409503,4095,2,1998,34,151
409901,4099,2,1996,31,60
410301,4103,2,1985,27,103
410302,4103,1,1988,29,96
410501,4105,2,1977,19,101
410502,4105,1,1979,21,117
410801,4108,2,1989,28,118
410802,4108,2,1996,34,79
410901,4109,1,1994,30,119
410902,4109,2,1999,35,-3
411001,4110,1,1985,23,104
411002,4110,1,1989,27,120
411201,4112,2,1982,22,87
411202,4112,2,1987,27,91
411203,4112,2,1989,29,107
411501,4115,1,1981,17,102
411502,4115,1,1988,23,78
412001,4120,1,1977,17,131
412002,4120,2,1980,19,128
412101,4121,2,1974,17,114
412102,4121,1,1977,20,129
412103,4121,1,1982,24,126
412301,4123,1,1985,21,127
412302,4123,2,1989,24,141
412303,4123,1,1990,26,96
413201,4132,2,1984,22,104
413202,4132,2,1986,24,127
413203,4132,2,1988,26,106
413204,4132,1,1992,30,-3
413301,4133,1,1980,17,123
413302,4133,1,1981,18,135
413303,4133,1,1987,23,135
413601,4136,2,1975,17,97
413602,4136,1,1981,23,141
413603,4136,1,1985,26,122
414201,4142,1,1987,25,99
414501,4145,1,1991,28,133
414801,4148,2,1984,21,111
414802,4148,1,1986,23,-3
414803,4148,2,2001,39,-3
414901,4149,1,1975,16,134
414902,4149,1,1982,23,141
415001,4150,1,1990,27,128
415101,4151,2,1977,19,111
415102,4151,2,1980,21,136
415301,4153,2,1988,25,121
415302,4153,2,1991,28,129
415303,4153,1,2004,41,-7
415401,4154,2,1981,17,107
415402,4154,2,1983,19,119
415403,4154,1,1999,35,-3
415701,4157,1,1981,18,120
415702,4157,2,1984,21,112
415703,4157,2,1987,25,131
415704,4157,1,1990,28,-7
416201,4162,2,1986,25,144
416202,4162,2,1991,31,139
416301,4163,1,1993,28,136
416701,4167,1,1984,20,123
416702,4167,1,1985,22,140
416901,4169,1,1997,37,80
417001,4170,1,1985,26,119
417002,4170,2,1987,28,108
417003,4170,2,1991,31,-3
417501,4175,1,1982,20,150
417502,4175,1,1988,27,143
417601,4176,1,1997,33,126
417602,4176,1,1998,35,126
417701,4177,2,1979,17,121
417801,4178,2,1983,19,76
417802,4178,2,1992,27,135
417803,4178,2,1997,32,120
417901,4179,2,1975,17,106
417902,4179,2,1984,26,112
417903,4179,1,1987,29,-3
418001,4180,2,1981,19,100
418002,4180,2,1985,24,113
418003,4180,1,1987,26,134
418004,4180,1,1990,28,116
418201,4182,2,1979,19,98
418202,4182,1,1981,21,64
418401,4184,2,1979,19,115
418402,4184,2,1981,20,110
418403,4184,1,1982,22,110
418404,4184,1,1986,26,89
418501,4185,2,1992,32,127
418502,4185,1,1996,35,-3
418601,4186,2,1986,26,123
418602,4186,1,1989,29,129
418701,4187,1,1984,23,128
418702,4187,2,1990,28,103
419001,4190,1,1992,31,131
419002,4190,1,1993,32,104
419201,4192,1,1993,28,102
419202,4192,2,1997,32,121
419401,4194,1,1980,23,108
419402,4194,2,1983,26,133
419403,4194,1,1989,31,148
419501,4195,2,1985,20,120
419502,4195,2,1988,23,168
419503,4195,2,1993,28,-3
419701,4197,2,1978,17,120
419702,4197,1,1979,19,120
419703,4197,1,1985,24,118
419801,4198,1,1985,21,107
419901,4199,2,1974,15,103
419902,4199,1,1976,17,141
419903,4199,1,1978,19,122
419904,4199,2,1980,20,118
419905,4199,1,1983,23,121
420001,4200,1,1989,29,122
420002,4200,2,1992,32,124
420301,4203,2,1984,22,98
420302,4203,2,1986,23,98
420303,4203,1,1987,24,125
420304,4203,1,1993,30,-3
420305,4203,1,1994,31,-3
420601,4206,2,1982,20,125
420602,4206,2,1988,25,152
420801,4208,2,1992,31,132
421001,4210,2,1979,15,106
421002,4210,1,1987,23,49
421201,4212,1,1984,20,116
421202,4212,1,1986,21,121
421203,4212,2,1987,22,70
421204,4212,2,1988,24,103
421205,4212,1,1999,34,108
421401,4214,1,1993,31,153
421402,4214,2,1995,33,-3
421501,4215,2,1980,17,90
421801,4218,1,1986,24,129
421802,4218,1,1998,37,112
421901,4219,2,1981,19,117
422001,4220,2,1988,25,109
422002,4220,2,1991,29,100
422003,4220,1,1993,31,-3
422301,4223,2,1997,33,136
422302,4223,1,2000,35,152
422401,4224,1,1989,32,121
422402,4224,1,1992,35,130
422701,4227,2,1993,31,85
422702,4227,1,1996,34,108
422801,4228,1,1978,19,98
423101,4231,2,1984,20,131
423102,4231,1,1987,23,121
423103,4231,1,1991,26,133
423104,4231,1,1998,34,152
423201,4232,1,1979,19,102
423202,4232,1,1981,22,78
423203,4232,2,1982,23,106
423204,4232,2,1995,35,-3
423601,4236,2,1980,23,125
423602,4236,2,1985,27,133
424601,4246,2,1982,21,105
424602,4246,1,1984,23,116
424603,4246,2,1989,28,109
424901,4249,1,1981,18,125
424902,4249,1,1987,24,-3
425001,4250,1,1993,31,139
425002,4250,2,2000,38,130
425201,4252,2,1983,19,132
425202,4252,2,1991,27,123
425401,4254,2,1989,27,123
425402,4254,1,1992,29,120
425403,4254,1,1993,31,110
425601,4256,1,1980,21,123
425602,4256,1,1982,23,118
426201,4262,1,1972,14,123
426202,4262,1,1975,17,137
426203,4262,1,1984,26,123
426204,4262,1,1989,31,131
426501,4265,2,1978,17,120
426801,4268,1,1976,18,114
427001,4270,2,1976,16,124
427002,4270,2,1981,21,146
427003,4270,2,1987,27,124
427201,4272,1,1992,30,99
427202,4272,1,1997,35,-3
427401,4274,1,1978,18,138
427402,4274,1,1979,20,152
427403,4274,1,1985,26,115
427501,4275,1,1981,18,124
427502,4275,2,1983,21,126
427701,4277,2,1976,16,130
427702,4277,2,1977,18,114
427703,4277,1,1978,19,128
428001,4280,1,1978,19,119
428002,4280,1,1980,20,121
428101,4281,1,1981,23,84
428201,4282,1,1981,18,118
428202,4282,1,1985,21,103
428203,4282,2,1990,26,118
428301,4283,1,1984,20,128
428302,4283,1,1987,23,116
428303,4283,2,1992,28,126
428304,4283,2,1995,31,-3
428401,4284,2,2001,38,-3
428402,4284,1,2002,40,-7
428601,4286,1,1979,16,119
428602,4286,1,1988,25,130
428603,4286,2,1991,28,120
429001,4290,1,1985,23,120
429002,4290,1,1988,26,119
429101,4291,1,1983,21,151
429201,4292,1,1995,37,128
429401,4294,1,1985,26,118
429402,4294,1,1988,28,-3
429501,4295,1,1977,18,137
429502,4295,2,1981,22,128
429503,4295,1,1984,25,121
429601,4296,2,1990,31,92
429602,4296,1,1994,35,136
430001,4300,1,1990,28,170
430401,4304,2,1980,18,90
430501,4305,2,1994,30,113
430502,4305,2,1998,34,128
430601,4306,2,1980,22,107
430602,4306,1,1990,33,119
430801,4308,2,1984,21,110
431001,4310,2,1979,16,87
431002,4310,2,1989,27,114
431003,4310,2,1992,30,107
431901,4319,2,1997,34,85
432001,4320,2,1999,35,138
432301,4323,1,1980,19,100
432302,4323,1,1982,21,111
432303,4323,2,1983,23,116
432304,4323,2,1985,24,116
432501,4325,2,1978,20,118
432502,4325,1,1985,27,135
432601,4326,1,1983,20,132
432602,4326,2,1986,22,110
433701,4337,1,1987,27,70
433702,4337,2,1998,38,86
433901,4339,2,1995,32,152
433902,4339,1,1996,33,136
434101,4341,1,1981,23,117
434501,4345,1,1984,24,104
434601,4346,2,1984,26,83
434602,4346,2,1990,32,108
434603,4346,1,1994,36,-3
435201,4352,2,1995,35,67
435202,4352,2,1997,37,-3
435401,4354,1,1980,23,104
435402,4354,1,1982,25,66
435403,4354,2,1989,32,103
436601,4366,2,1988,24,118
436602,4366,1,1992,28,139
436701,4367,1,1986,25,134
436702,4367,2,1989,28,120
436703,4367,1,1996,35,99
436801,4368,1,1978,21,139
436802,4368,2,1980,22,115
437101,4371,2,1985,23,132
437102,4371,1,1988,26,132
437201,4372,2,1989,29,95
437301,4373,1,1985,21,117
437501,4375,2,1981,19,-3
437601,4376,2,1982,24,133
437602,4376,1,1984,27,148
437801,4378,1,1981,20,129
437802,4378,1,1982,21,119
437803,4378,1,1988,26,102
437804,4378,1,1989,28,130
437901,4379,1,1980,19,105
437902,4379,1,1992,31,108
438101,4381,2,1995,36,117
438102,4381,1,2000,41,-3
438301,4383,1,1979,20,128
438302,4383,2,1985,27,128
438601,4386,2,1983,20,111
438602,4386,2,1985,22,124
438603,4386,2,1987,24,137
439101,4391,2,1980,22,115
439102,4391,1,1982,24,126
439103,4391,2,1986,28,-3
439104,4391,2,1991,33,97
439105,4391,1,1994,36,-3
439201,4392,1,1990,32,120
439601,4396,1,1981,22,163
439602,4396,1,1985,26,118
440001,4400,2,1977,20,112
440002,4400,1,1980,23,104
440401,4404,2,1979,18,109
440402,4404,1,1986,25,-3
441101,4411,1,2002,38,-7
441102,4411,1,2004,39,-7
441601,4416,1,1974,16,124
441602,4416,2,1976,18,122
441603,4416,1,1981,23,123
441604,4416,2,1986,29,122
441605,4416,2,1987,30,124
441606,4416,1,1989,31,141
441701,4417,1,1981,19,150
441702,4417,2,1985,22,160
441703,4417,1,1993,30,129
441704,4417,2,1999,37,131
442301,4423,2,1997,35,123
442401,4424,1,1994,31,96
442801,4428,1,1989,29,132
442802,4428,2,1992,31,125
442803,4428,1,1995,35,109
443101,4431,2,2011,50,71
443102,4431,2,2011,50,81
443401,4434,2,1975,17,96
443402,4434,1,1981,22,108
443701,4437,2,1993,28,142
443702,4437,1,1997,32,154
443801,4438,2,1987,24,146
443802,4438,1,1991,28,128
443901,4439,1,1988,30,105
443902,4439,1,1994,36,118
444001,4440,1,1993,29,127
444101,4441,1,1987,30,101
444102,4441,2,1990,32,99
444501,4445,2,1986,23,120
444502,4445,1,1987,24,118
444503,4445,1,1994,31,122
444701,4447,2,1984,21,135
444702,4447,1,1987,24,148
444703,4447,1,1990,28,146
445001,4450,1,1975,17,122
445002,4450,1,1989,31,122
445101,4451,2,1990,26,141
445102,4451,2,1996,32,148
445501,4455,1,1981,19,157
445601,4456,2,1991,29,97
445602,4456,2,1993,32,-3
445701,4457,1,1990,32,138
445702,4457,1,1993,35,117
445801,4458,1,1986,23,132
446301,4463,1,1975,15,101
446302,4463,1,1977,17,96
446303,4463,1,1984,25,106
446401,4464,2,1992,32,132
446501,4465,2,1991,28,118
446502,4465,1,1995,32,-3
446503,4465,1,2002,39,-7
446901,4469,2,1982,20,103
447301,4473,1,1985,21,124
447302,4473,1,1988,25,126
447303,4473,2,1993,29,128
447304,4473,2,1997,33,126
447401,4474,1,1982,20,128
447402,4474,2,1990,28,142
447501,4475,1,1981,23,137
447502,4475,1,1989,31,106
447503,4475,1,1991,33,127
447601,4476,2,1978,17,103
447801,4478,2,1989,31,142
447901,4479,1,1986,27,134
447902,4479,2,1989,29,131
448101,4481,2,1980,21,119
448102,4481,2,1987,29,125
448103,4481,1,1991,32,142
448201,4482,1,1991,31,92
448301,4483,1,1974,15,51
448302,4483,2,1976,16,140
448303,4483,2,1977,17,138
448304,4483,2,1979,19,128
448305,4483,2,1980,20,130
448306,4483,2,1982,22,66
448307,4483,2,1982,22,69
448501,4485,1,1980,21,141
448502,4485,2,1985,26,128
448701,4487,1,1983,20,95
448702,4487,1,1986,23,119
448801,4488,1,2003,39,-7
448802,4488,1,2006,42,77
448803,4488,2,2008,44,142
449001,4490,1,1979,17,79
449002,4490,2,1980,18,96
449003,4490,1,1985,23,51
449401,4494,2,1985,26,132
449402,4494,1,1996,37,143
449501,4495,1,1994,33,128
449502,4495,2,1996,35,150
449601,4496,1,1979,21,141
449602,4496,2,1985,27,72
449901,4499,1,1982,18,125
449902,4499,1,1990,26,121
449903,4499,1,1991,27,126
449904,4499,1,1994,29,119
450501,4505,2,1979,15,151
450502,4505,1,1983,18,130
450503,4505,1,1984,20,154
450504,4505,2,1990,25,113
450505,4505,1,2003,38,-7
450601,4506,1,1983,20,120
450602,4506,2,1986,23,150
452201,4522,1,1988,28,136
452202,4522,1,1992,32,-7
452301,4523,2,1984,20,129
452302,4523,2,1987,23,136
452501,4525,1,1990,26,173
